Specie,Transporter,TC number,Family,Target sugar,Description,Status,Source ID (NCBI)
Chaetoceros neogracilis,glucose transporter,2.A.1.1,MFS,glucose,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 2 [Chaetoceros neogracilis]",🟢 Confirmed,GAB7152945.1
Chaetoceros neogracilis,glucose transporter,2.A.1.1,MFS,glucose,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 2 [Chaetoceros neogracilis]",🟢 Confirmed,GAB7152944.1
Coccomyxa sp. KJ,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Coccomyxa sp. KJ],🟢 Confirmed,BHG26217.1
Coccomyxa sp. KJ,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Coccomyxa sp. KJ],🟢 Confirmed,BHG21115.1
Prototheca bovis,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Prototheca bovis],🟢 Confirmed,GAB1853334.1
Nannochloropsis oceanica,glucose transporter,2.A.1.1,MFS,glucose,solute carrier family 2 (facilitated glucose transporter) member 13 [Nannochloropsis oceanica],🟢 Confirmed,GAB5034470.1
Nannochloropsis oceanica,glucose transporter,2.A.1.1,MFS,glucose,sodium-dependent glucose transporter 1 [Nannochloropsis oceanica],🟢 Confirmed,GAB5035009.1
Elainellaceae cyanobacterium,glucose transporter,2.A.1.1,MFS,glucose,MAG: PTS glucose transporter subunit IIBC [Elainellaceae cyanobacterium],🟢 Confirmed,GAB4371357.1
Elainellaceae cyanobacterium,glucose transporter,2.A.1.1,MFS,glucose,MAG: PTS glucose transporter subunit IIBC [Elainellaceae cyanobacterium],🟢 Confirmed,GAB4471002.1
Pycnococcus provasolii,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Pycnococcus provasolii],🟢 Confirmed,XRB01688.1
Pycnococcus provasolii,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Pycnococcus provasolii],🟢 Confirmed,XRA99549.1
Chlorella vulgaris,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Chlorella vulgaris],🟢 Confirmed,KAL4859569.1
Chlorella vulgaris,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Chlorella vulgaris],🟢 Confirmed,KAL4859568.1
[Phormidium] sp. LEGE 05292,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIBC [[Phormidium] sp. LEGE 05292],🟢 Confirmed,WP_193979857.1
[Phormidium ambiguum] IAM M-71,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIBC [[Phormidium ambiguum] IAM M-71],🟢 Confirmed,WP_073593559.1
Chloropicon roscoffensis,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Chloropicon roscoffensis],🟢 Confirmed,XKU16768.1
Chloropicon roscoffensis,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Chloropicon roscoffensis],🟢 Confirmed,XKU07865.1
Chloropicon roscoffensis,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Chloropicon roscoffensis],🟢 Confirmed,WZN60049.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Probable glucose transporter rco-3 [Durusdinium trenchii],🟡 Probable/Hypothetical,CAK9036100.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 (AtpGlcT) [Durusdinium trenchii],🟢 Confirmed,CAK9037688.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Probable glucose transporter rco-3 [Durusdinium trenchii],🟡 Probable/Hypothetical,CAK9049106.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 (AtpGlcT) [Durusdinium trenchii],🟢 Confirmed,CAK9068027.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Low-affinity glucose transporter HXT3 [Durusdinium trenchii],🟢 Confirmed,CAK9103668.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Low-affinity glucose transporter HXT3 [Durusdinium trenchii],🟢 Confirmed,CAK9103807.1
Durusdinium trenchii,glucose transporter,2.A.1.1,MFS,glucose,Sodium-dependent glucose transporter 1 (Major facilitator superfamily domain-containing protein 4B) [Durusdinium trenchii],🟢 Confirmed,CAK9106420.1
Nannochloropsis gaditana CCMP526,glucose transporter,2.A.1.1,MFS,glucose,sodium-dependent glucose transporter 1 [Nannochloropsis gaditana CCMP526],🟢 Confirmed,XP_005855558.1
Nannochloropsis gaditana CCMP526,glucose transporter,2.A.1.1,MFS,glucose,solute carrier family 2 (facilitated glucose transporter) member 13 [Nannochloropsis gaditana CCMP526],🟢 Confirmed,XP_005852738.1
Picochlorum sp. SENEW3,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Picochlorum sp. SENEW3],🟢 Confirmed,WPT15511.1
Picochlorum sp. SENEW3,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Picochlorum sp. SENEW3],🟢 Confirmed,WPT14385.1
Cymbomonas tetramitiformis,glucose transporter,2.A.1.1,MFS,glucose,Vacuolar glucose transporter 1 [Cymbomonas tetramitiformis],🟢 Confirmed,KAK3282185.1
Cymbomonas tetramitiformis,glucose transporter,2.A.1.1,MFS,glucose,Vacuolar glucose transporter 1 [Cymbomonas tetramitiformis],🟢 Confirmed,KAK3277041.1
Cymbomonas tetramitiformis,glucose transporter,2.A.1.1,MFS,glucose,Vacuolar glucose transporter 1 [Cymbomonas tetramitiformis],🟢 Confirmed,KAK3266931.1
Cymbomonas tetramitiformis,glucose transporter,2.A.1.1,MFS,glucose,Vacuolar glucose transporter 1 [Cymbomonas tetramitiformis],🟢 Confirmed,KAK3239086.1
Planktothrix agardhii,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIA [Planktothrix agardhii],🟢 Confirmed,WP_310996069.1
Chromochloris zofingiensis,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Chromochloris zofingiensis],🟢 Confirmed,WKW83349.1
unclassified Nostoc,glucose transporter,2.A.1.1,MFS,glucose,MULTISPECIES: PTS glucose transporter subunit IIA [unclassified Nostoc],🟢 Confirmed,WP_292705209.1
Microcystis,glucose transporter,2.A.1.1,MFS,glucose,MULTISPECIES: PTS glucose transporter subunit IIA [Microcystis],🟢 Confirmed,WP_002788764.1
Synechococcus sp. WH 7803,glucose transporter,2.A.1.1,MFS,glucose,"Sodium:solute symporter family, possible glucose transporter [Synechococcus sp. WH 7803]",🟡 Probable/Hypothetical,CAK24483.1
Mayamaea pseudoterrestris,glucose transporter,2.A.1.1,MFS,glucose,vacuolar glucose transporter 1 [Mayamaea pseudoterrestris],🟢 Confirmed,GKY91386.1
Seminavis robusta,glucose transporter,2.A.1.1,MFS,glucose,affinity glucose transporter [Seminavis robusta],🟢 Confirmed,CAB9511160.1
Seminavis robusta,glucose transporter,2.A.1.1,MFS,glucose,"family 2, facilitated glucose transporter member [Seminavis robusta]",🟢 Confirmed,CAB9514104.1
Seminavis robusta,glucose transporter,2.A.1.1,MFS,glucose,affinity glucose transporter [Seminavis robusta],🟢 Confirmed,CAB9515091.1
Seminavis robusta,glucose transporter,2.A.1.1,MFS,glucose,"family 2, facilitated glucose transporter member [Seminavis robusta]",🟢 Confirmed,CAB9524177.1
Synechococcus sp. CC9605,glucose transporter,2.A.1.1,MFS,glucose,"sodium:solute symporter family, possibly glucose transporter [Synechococcus sp. CC9605]",🟢 Confirmed,ABB35802.1
Leptolyngbya iicbica LK,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIB [Leptolyngbya iicbica LK],🟢 Confirmed,RZM82738.1
Oscillatoria sp. FACHB-1406,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIA [Oscillatoria sp. FACHB-1406],🟢 Confirmed,WP_190713082.1
Planktothrix serta,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIA [Planktothrix serta],🟢 Confirmed,WP_083624467.1
Spirulina major,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIA [Spirulina major],🟢 Confirmed,WP_072620110.1
Chaetoceros tenuissimus,glucose transporter,2.A.1.1,MFS,glucose,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 2 [Chaetoceros tenuissimus]",🟢 Confirmed,GFH59204.1
Nannochloris sp. 'desiccata',glucose transporter,2.A.1.1,MFS,glucose,putative Plastidic glucose transporter 4 [Nannochloris sp. 'desiccata'],🟡 Probable/Hypothetical,KAH7618451.1
Nannochloris sp. 'desiccata',glucose transporter,2.A.1.1,MFS,glucose,putative Plastidic glucose transporter 4 [Nannochloris sp. 'desiccata'],🟡 Probable/Hypothetical,KAH7618162.1
Coccomyxa sp. Obi,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Coccomyxa sp. Obi],🟢 Confirmed,BDA46904.1
Coccomyxa sp. Obi,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Coccomyxa sp. Obi],🟢 Confirmed,BDA41763.1
Kovacikia minuta CCNUW1,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIA [Kovacikia minuta CCNUW1],🟢 Confirmed,UBF27376.1
Tribonema minus,glucose transporter,2.A.1.1,MFS,glucose,solute carrier family facilitated glucose transporter member 3 [Tribonema minus],🟢 Confirmed,KAG5190730.1
Tribonema minus,glucose transporter,2.A.1.1,MFS,glucose,"putative solute carrier family, facilitated glucose transporter [Tribonema minus]",🟡 Probable/Hypothetical,KAG5187821.1
Leptolyngbya sp. BL0902,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIB [Leptolyngbya sp. BL0902],🟢 Confirmed,QQE66698.1
Synechococcus sp. MIT S9220,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. MIT S9220],🟢 Confirmed,QNJ23859.1
Synechococcus sp. MIT S9220,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. MIT S9220],🟢 Confirmed,QNJ23740.1
Synechococcus sp. WH 8101,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. WH 8101],🟢 Confirmed,QNI46119.1
Synechococcus sp. PROS-9-1,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. PROS-9-1],🟢 Confirmed,QNJ32635.1
Synechococcus sp. PROS-9-1,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. PROS-9-1],🟢 Confirmed,QNJ32484.1
Synechococcus sp. A15-24,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. A15-24],🟢 Confirmed,QNJ28363.1
Synechococcus sp. A15-24,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. A15-24],🟢 Confirmed,QNJ28330.1
Synechococcus sp. SYN20,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. SYN20],🟢 Confirmed,QNJ27145.1
Synechococcus sp. SYN20,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. SYN20],🟢 Confirmed,QNJ27003.1
Synechococcus sp. A18-25c,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. A18-25c],🟢 Confirmed,QNJ19185.1
Synechococcus sp. A18-25c,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. A18-25c],🟢 Confirmed,QNJ19042.1
Synechococcus sp. A18-40,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. A18-40],🟢 Confirmed,QNJ16199.1
Synechococcus sp. A18-40,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. A18-40],🟢 Confirmed,QNJ16163.1
Synechococcus sp. A18-46.1,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. A18-46.1],🟢 Confirmed,QNJ13330.1
Synechococcus sp. A18-46.1,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. A18-46.1],🟢 Confirmed,QNJ13293.1
Synechococcus sp. M16.1,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. M16.1],🟢 Confirmed,QNJ12097.1
Synechococcus sp. M16.1,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. M16.1],🟢 Confirmed,QNJ12067.1
Synechococcus sp. Minos11,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. Minos11],🟢 Confirmed,QNJ09552.1
Synechococcus sp. Minos11,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. Minos11],🟢 Confirmed,QNJ07989.1
Synechococcus sp. MEDNS5,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. MEDNS5],🟢 Confirmed,QNJ06977.1
Synechococcus sp. MEDNS5,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. MEDNS5],🟢 Confirmed,QNJ06826.1
Synechococcus sp. PROS-U-1,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. PROS-U-1],🟢 Confirmed,QNJ04118.1
Synechococcus sp. PROS-U-1,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. PROS-U-1],🟢 Confirmed,QNJ04072.1
Synechococcus sp. A15-62,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. A15-62],🟢 Confirmed,QNJ01062.1
Synechococcus sp. A15-62,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. A15-62],🟢 Confirmed,QNJ01026.1
Synechococcus sp. RS9902,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. RS9902],🟢 Confirmed,QNI96728.1
Synechococcus sp. RS9902,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. RS9902],🟢 Confirmed,QNI96695.1
Synechococcus sp. A15-127,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. A15-127],🟢 Confirmed,QNI95284.1
Synechococcus sp. A15-127,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. A15-127],🟢 Confirmed,QNI95217.1
Synechococcus sp. BOUM118,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. BOUM118],🟢 Confirmed,QNI91024.1
Synechococcus sp. BOUM118,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. BOUM118],🟢 Confirmed,QNI90975.1
Synechococcus sp. ROS8604,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. ROS8604],🟢 Confirmed,QNI89747.1
Synechococcus sp. ROS8604,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. ROS8604],🟢 Confirmed,QNI89575.1
Synechococcus sp. PROS-7-1,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. PROS-7-1],🟢 Confirmed,QNI85977.1
Synechococcus sp. RS9907,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. RS9907],🟢 Confirmed,QNI83177.1
Synechococcus sp. RS9907,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. RS9907],🟢 Confirmed,QNI83135.1
Synechococcus sp. RS9909,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. RS9909],🟢 Confirmed,QNI80222.1
Synechococcus sp. MVIR-18-1,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. MVIR-18-1],🟢 Confirmed,QNI77477.1
Synechococcus sp. MVIR-18-1,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. MVIR-18-1],🟢 Confirmed,QNI77254.1
Synechococcus sp. NOUM97013,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. NOUM97013],🟢 Confirmed,QNI74459.1
Synechococcus sp. NOUM97013,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. NOUM97013],🟢 Confirmed,QNI74319.1
Cyanobium sp. NS01,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Cyanobium sp. NS01],🟢 Confirmed,QNI71464.1
Cyanobium sp. NS01,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Cyanobium sp. NS01],🟢 Confirmed,QNI69761.1
Synechococcus sp. BMK-MC-1,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. BMK-MC-1],🟢 Confirmed,QNI68657.1
Synechococcus sp. BMK-MC-1,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. BMK-MC-1],🟢 Confirmed,QNI68522.1
Synechococcus sp. A15-44,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. A15-44],🟢 Confirmed,QNI65477.1
Synechococcus sp. A15-44,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. A15-44],🟢 Confirmed,QNI65256.1
Synechococcus sp. TAK9802,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. TAK9802],🟢 Confirmed,QNI62387.1
Synechococcus sp. TAK9802,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. TAK9802],🟢 Confirmed,QNI62356.1
Synechococcus sp. BIOS-U3-1,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. BIOS-U3-1],🟢 Confirmed,QNI59724.1
Synechococcus sp. BIOS-U3-1,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. BIOS-U3-1],🟢 Confirmed,QNI59601.1
Synechococcus sp. BIOS-E4-1,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. BIOS-E4-1],🟢 Confirmed,QNI56096.1
Synechococcus sp. BIOS-E4-1,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. BIOS-E4-1],🟢 Confirmed,QNI55972.1
Synechococcus sp. RS9915,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. RS9915],🟢 Confirmed,QNI50405.1
Synechococcus sp. RS9915,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. RS9915],🟢 Confirmed,QNI50366.1
Synechococcus sp. A15-60,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. A15-60],🟢 Confirmed,QNI47559.1
Synechococcus sp. A15-60,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. A15-60],🟢 Confirmed,QNI47422.1
Synechococcus sp. A15-28,glucose transporter,2.A.1.1,MFS,glucose,sodium:solute symporter family/ possibly glucose transporter [Synechococcus sp. A15-28],🟢 Confirmed,QNI41668.1
Synechococcus sp. A15-28,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechococcus sp. A15-28],🟢 Confirmed,QNI41632.1
Trebouxia sp. A1-2,glucose transporter,2.A.1.1,MFS,glucose,MAG: plastidic glucose transporter 4-like [Trebouxia sp. A1-2],🟡 Probable/Hypothetical,KAA6427963.1
Trebouxia sp. A1-2,glucose transporter,2.A.1.1,MFS,glucose,MAG: glucose transporter [Trebouxia sp. A1-2],🟢 Confirmed,KAA6424305.1
Fistulifera solaris,glucose transporter,2.A.1.1,MFS,glucose,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 2 [Fistulifera solaris]",🟢 Confirmed,GAX17596.1
Fistulifera solaris,glucose transporter,2.A.1.1,MFS,glucose,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 2 [Fistulifera solaris]",🟢 Confirmed,GAX26136.1
Leptolyngbya sp.,glucose transporter,2.A.1.1,MFS,glucose,MAG: PTS glucose transporter subunit IIB [Leptolyngbya sp.],🟢 Confirmed,PZU94451.1
Raphidocelis subcapitata,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Raphidocelis subcapitata],🟢 Confirmed,GBF88998.1
Raphidocelis subcapitata,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Raphidocelis subcapitata],🟢 Confirmed,GBF90824.1
Synechocystis sp. IPPAS B-1465,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Synechocystis sp. IPPAS B-1465],🟢 Confirmed,AVP90191.1
Aphanothece hegewaldii CCALA 016,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIB [Aphanothece hegewaldii CCALA 016],🟢 Confirmed,PSF35203.1
Micractinium conductrix,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Micractinium conductrix],🟢 Confirmed,PSC75514.1
Micractinium conductrix,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter 4-like isoform [Micractinium conductrix],🟡 Probable/Hypothetical,PSC75287.1
Micractinium conductrix,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Micractinium conductrix],🟢 Confirmed,PSC74729.1
Stenomitos frigidus ULC18,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIB [Stenomitos frigidus ULC18],🟢 Confirmed,PSB30061.1
Chlorella sorokiniana,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Chlorella sorokiniana],🟢 Confirmed,PRW58607.1
Chlorella sorokiniana,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter [Chlorella sorokiniana],🟢 Confirmed,PRW58467.1
Tetrabaena socialis,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Tetrabaena socialis],🟢 Confirmed,PNH04298.1
Symbiodinium microadriaticum,glucose transporter,2.A.1.1,MFS,glucose,"Solute carrier family 2, facilitated glucose transporter member 12 [Symbiodinium microadriaticum]",🟢 Confirmed,OLQ14100.1
Symbiodinium microadriaticum,glucose transporter,2.A.1.1,MFS,glucose,High-affinity glucose transporter [Symbiodinium microadriaticum],🟢 Confirmed,OLQ13682.1
Symbiodinium microadriaticum,glucose transporter,2.A.1.1,MFS,glucose,"Solute carrier family 2, facilitated glucose transporter member 1 [Symbiodinium microadriaticum]",🟢 Confirmed,OLQ02574.1
Symbiodinium microadriaticum,glucose transporter,2.A.1.1,MFS,glucose,putative glucose transporter rco-3 [Symbiodinium microadriaticum],🟡 Probable/Hypothetical,OLP99696.1
Symbiodinium microadriaticum,glucose transporter,2.A.1.1,MFS,glucose,"Solute carrier family 2, facilitated glucose transporter member 3 [Symbiodinium microadriaticum]",🟢 Confirmed,OLP81921.1
Symbiodinium microadriaticum,glucose transporter,2.A.1.1,MFS,glucose,Low-affinity glucose transporter HXT3 [Symbiodinium microadriaticum],🟢 Confirmed,OLP77119.1
Phormidium tenue NIES-30,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIB [Phormidium tenue NIES-30],🟢 Confirmed,OKH50853.1
[Phormidium ambiguum] IAM M-71,glucose transporter,2.A.1.1,MFS,glucose,PTS glucose transporter subunit IIB [[Phormidium ambiguum] IAM M-71],🟢 Confirmed,OKH38119.1
Oscillatoriales cyanobacterium CG2_30_40_61,glucose transporter,2.A.1.1,MFS,glucose,MAG: PTS glucose transporter subunit IIB [Oscillatoriales cyanobacterium CG2_30_40_61],🟢 Confirmed,OIP70396.1
Hapalosiphon sp. MRB220,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Hapalosiphon sp. MRB220],🟢 Confirmed,KOP23063.1
Chrysochromulina tobinii,glucose transporter,2.A.1.1,MFS,glucose,solute carrier family facilitated glucose transporter member 1 [Chrysochromulina tobinii],🟢 Confirmed,KOO29668.1
Chrysochromulina tobinii,glucose transporter,2.A.1.1,MFS,glucose,glucose transporter [Chrysochromulina tobinii],🟢 Confirmed,KOO22686.1
Auxenochlorella protothecoides,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Auxenochlorella protothecoides],🟢 Confirmed,KFM27367.1
Nannochloropsis gaditana CCMP526,glucose transporter,2.A.1.1,MFS,glucose,solute carrier family 2 (facilitated glucose transporter) member 13 [Nannochloropsis gaditana CCMP526],🟢 Confirmed,EKU23093.1
Nannochloropsis gaditana CCMP526,glucose transporter,2.A.1.1,MFS,glucose,sodium-dependent glucose transporter 1 [Nannochloropsis gaditana CCMP526],🟢 Confirmed,EKU20807.1
Prochlorococcus marinus str. MIT 9313,glucose transporter,2.A.1.1,MFS,glucose,"Sodium:solute symporter family, possible glucose transporter [Prochlorococcus marinus str. MIT 9313]",🟡 Probable/Hypothetical,CAE21677.1
Synechococcus sp. RCC307,glucose transporter,2.A.1.1,MFS,glucose,"Sodium:solute symporter family, possible glucose transporter [Synechococcus sp. RCC307]",🟡 Probable/Hypothetical,CAK28856.1
Parasynechococcus marenigrum WH 8102,glucose transporter,2.A.1.1,MFS,glucose,"Sodium:solute symporter family, possibly glucose transporter [Parasynechococcus marenigrum WH 8102]",🟢 Confirmed,CAE07134.1
Auxenochlorella protothecoides,glucose transporter,2.A.1.1,MFS,glucose,Plastidic glucose transporter 4 [Auxenochlorella protothecoides],🟢 Confirmed,XP_011400334.1
Tetraselmis sp. GSL018,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter 4-like [Tetraselmis sp. GSL018],🟡 Probable/Hypothetical,JAC82733.1
Tetraselmis sp. GSL018,glucose transporter,2.A.1.1,MFS,glucose,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8 [Tetraselmis sp. GSL018]",🟢 Confirmed,JAC79700.1
Tetraselmis sp. GSL018,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter 4-like [Tetraselmis sp. GSL018],🟡 Probable/Hypothetical,JAC66785.1
Tetraselmis sp. GSL018,glucose transporter,2.A.1.1,MFS,glucose,plastidic glucose transporter 4-like [Tetraselmis sp. GSL018],🟡 Probable/Hypothetical,JAC66711.1
Nannochloropsis gaditana,glucose transporter,2.A.1.1,MFS,glucose,sodium-dependent glucose transporter 1 [Nannochloropsis gaditana],🟢 Confirmed,EWM30127.1
Nannochloropsis gaditana,glucose transporter,2.A.1.1,MFS,glucose,solute carrier family 2 (facilitated glucose transporter) member 13 [Nannochloropsis gaditana],🟢 Confirmed,EWM29810.1
Prochlorococcus marinus str. MIT 9303,glucose transporter,2.A.1.1,MFS,glucose,"Sodium:solute symporter family, possible glucose transporter [Prochlorococcus marinus str. MIT 9303]",🟡 Probable/Hypothetical,ABM77194.1
Synechococcus sp. CC9311,glucose transporter,2.A.1.1,MFS,glucose,"Sodium:solute symporter family, possible glucose transporter [Synechococcus sp. CC9311]",🟡 Probable/Hypothetical,ABI46406.1
