Specie,Transporter,TC number,Family,Target sugar,Description,Status,Source ID (NCBI)
Fischerella thermalis WC439,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC439],🟢 Confirmed,PLZ60715.1
Fischerella thermalis WC344,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC344],🟢 Confirmed,PLZ60386.1
Fischerella thermalis WC344,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC344],🟢 Confirmed,PLZ60324.1
Fischerella thermalis WC344,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC344],🟢 Confirmed,PLZ59733.1
Fischerella thermalis WC442,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC442],🟢 Confirmed,PLZ59558.1
Fischerella thermalis WC344,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC344],🟢 Confirmed,PLZ59382.1
Fischerella thermalis WC439,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC439],🟢 Confirmed,PLZ57213.1
Fischerella thermalis WC441,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC441],🟢 Confirmed,PLZ56226.1
Fischerella thermalis WC442,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC442],🟢 Confirmed,PLZ55903.1
Fischerella thermalis WC441,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC441],🟢 Confirmed,PLZ55409.1
Fischerella thermalis WC441,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC441],🟢 Confirmed,PLZ55239.1
Fischerella thermalis WC442,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC442],🟢 Confirmed,PLZ54538.1
Fischerella thermalis WC439,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC439],🟢 Confirmed,PLZ53773.1
Fischerella thermalis WC442,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC442],🟢 Confirmed,PLZ53686.1
Fischerella thermalis WC439,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC439],🟢 Confirmed,PLZ53128.1
Fischerella thermalis WC439,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC439],🟢 Confirmed,PLZ52310.1
Fischerella thermalis WC442,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC442],🟢 Confirmed,PLZ52280.1
Fischerella thermalis WC439,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC439],🟢 Confirmed,PLZ51699.1
Fischerella thermalis WC442,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC442],🟢 Confirmed,PLZ51310.1
Fischerella thermalis WC439,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC439],🟢 Confirmed,PLZ51152.1
Fischerella thermalis WC441,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC441],🟢 Confirmed,PLZ50735.1
Fischerella thermalis WC441,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC441],🟢 Confirmed,PLZ50503.1
Fischerella thermalis WC442,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC442],🟢 Confirmed,PLZ50350.1
Fischerella thermalis WC441,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC441],🟢 Confirmed,PLZ49898.1
Fischerella thermalis WC442,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC442],🟢 Confirmed,PLZ49853.1
Fischerella thermalis WC527,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC527],🟢 Confirmed,PLZ49615.1
Fischerella thermalis WC527,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC527],🟢 Confirmed,PLZ48499.1
Fischerella thermalis WC527,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC527],🟢 Confirmed,PLZ48411.1
Fischerella thermalis WC441,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC441],🟢 Confirmed,PLZ48046.1
Fischerella thermalis WC527,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC527],🟢 Confirmed,PLZ47591.1
Fischerella thermalis WC538,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC538],🟢 Confirmed,PLZ45708.1
Fischerella thermalis WC542,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC542],🟢 Confirmed,PLZ45582.1
Fischerella thermalis WC538,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC538],🟢 Confirmed,PLZ43907.1
Fischerella thermalis WC527,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC527],🟢 Confirmed,PLZ43781.1
Fischerella thermalis WC527,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC527],🟢 Confirmed,PLZ43720.1
Fischerella thermalis WC538,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC538],🟢 Confirmed,PLZ43375.1
Fischerella thermalis WC538,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC538],🟢 Confirmed,PLZ43233.1
Fischerella thermalis WC527,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC527],🟢 Confirmed,PLZ42835.1
Fischerella thermalis WC527,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC527],🟢 Confirmed,PLZ42246.1
Fischerella thermalis WC538,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC538],🟢 Confirmed,PLZ39263.1
Fischerella thermalis WC527,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC527],🟢 Confirmed,PLZ38927.1
Fischerella thermalis WC538,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC538],🟢 Confirmed,PLZ38648.1
Fischerella thermalis WC538,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC538],🟢 Confirmed,PLZ37727.1
Fischerella thermalis WC558,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC558],🟢 Confirmed,PLZ37113.1
Fischerella thermalis WC542,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC542],🟢 Confirmed,PLZ36774.1
Fischerella thermalis WC538,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC538],🟢 Confirmed,PLZ36622.1
Fischerella thermalis WC542,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC542],🟢 Confirmed,PLZ36364.1
Fischerella thermalis WC538,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC538],🟢 Confirmed,PLZ35976.1
Fischerella thermalis WC542,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC542],🟢 Confirmed,PLZ35246.1
Fischerella thermalis WC542,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC542],🟢 Confirmed,PLZ35071.1
Fischerella thermalis WC542,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC542],🟢 Confirmed,PLZ32547.1
Fischerella thermalis WC558,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC558],🟢 Confirmed,PLZ32069.1
Fischerella thermalis WC559,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC559],🟢 Confirmed,PLZ31931.1
Fischerella thermalis WC558,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC558],🟢 Confirmed,PLZ31576.1
Fischerella thermalis WC558,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC558],🟢 Confirmed,PLZ31509.1
Fischerella thermalis WC558,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC558],🟢 Confirmed,PLZ30054.1
Fischerella thermalis WC559,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC559],🟢 Confirmed,PLZ29963.1
Fischerella thermalis WC558,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC558],🟢 Confirmed,PLZ29918.1
Fischerella thermalis WC559,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis WC559],🟢 Confirmed,PLZ29741.1
Fischerella thermalis WC558,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC558],🟢 Confirmed,PLZ29286.1
Fischerella thermalis WC341,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis WC341],🟢 Confirmed,PLZ29181.1
Fischerella thermalis WC341,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis WC341],🟢 Confirmed,PLZ28445.1
