Specie,Enzyme,EC number,Target sugar,Description,Status,Source ID (NCBI),Origin
Phormidesmis sp. 146-12,galactokinase,2.7.1.6,galactose,galactokinase [Phormidesmis sp. 146-12],🟢 Confirmed,WP_446870389.1,Organism: Phormidesmis sp. 146-12 | Db xref: taxon:3383344
unclassified Phormidesmis,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Phormidesmis],🟢 Confirmed,WP_446861245.1,Organism: unclassified Phormidesmis | Db xref: taxon:2636038
Phormidesmis sp. 146-20,galactokinase,2.7.1.6,galactose,galactokinase [Phormidesmis sp. 146-20],🟢 Confirmed,KAM3104483.1,"Organism: Phormidesmis sp. 146-20 | Strain: 146-20 | Isolation source: wooden bridge surface | Db xref: taxon:3383727 | Geo loc name: Croatia: Knin, River Krka, Krcic Waterfall | Lat lon: 44.04152 N 16.23488 E | Collection date: 2022-09-30"
Phormidesmis sp. 146-35,galactokinase,2.7.1.6,galactose,galactokinase [Phormidesmis sp. 146-35],🟢 Confirmed,KAM3100422.1,"Organism: Phormidesmis sp. 146-35 | Strain: 146-35 | Isolation source: wooden bridge surface | Db xref: taxon:3383729 | Geo loc name: Croatia: Knin, River Krka, Krcic Waterfall | Lat lon: 44.04152 N 16.23488 E | Collection date: 2022-09-30"
Phormidesmis sp. 146-12,galactokinase,2.7.1.6,galactose,galactokinase [Phormidesmis sp. 146-12],🟢 Confirmed,KAM3094808.1,"Organism: Phormidesmis sp. 146-12 | Strain: 146-12 | Isolation source: wooden bridge surface | Db xref: taxon:3383344 | Geo loc name: Croatia: Knin, River Krka, Krcic Waterfall | Lat lon: 44.04152 N 16.23488 E | Collection date: 2022-09-30"
Nostoc sp. DSM 114161,galactokinase,2.7.1.6,galactose,galactokinase [Nostoc sp. DSM 114161],🟢 Confirmed,WP_445633918.1,Organism: Nostoc sp. DSM 114161 | Db xref: taxon:3440143
Nostoc sp. DSM 114167,galactokinase,2.7.1.6,galactose,galactokinase [Nostoc sp. DSM 114167],🟢 Confirmed,WP_445631199.1,Organism: Nostoc sp. DSM 114167 | Db xref: taxon:3439050
Kamptonema formosum,galactokinase,2.7.1.6,galactose,galactokinase [Kamptonema formosum],🟢 Confirmed,WP_017718265.1,Organism: Kamptonema formosum | Db xref: taxon:331992
Nostoc sp. DSM 114161,galactokinase,2.7.1.6,galactose,galactokinase [Nostoc sp. DSM 114161],🟢 Confirmed,YAG16283.1,Organism: Nostoc sp. DSM 114161 | Strain: DSM 114161 | Isolation source: coralloid root | Host: Macrozamia macleayi | Culture collection: DSM:114161 | Db xref: taxon:3440143 | Geo loc name: Australia: Mt. Colosseum | Collection date: 2006
Nostoc sp. DSM 114167,galactokinase,2.7.1.6,galactose,galactokinase [Nostoc sp. DSM 114167],🟢 Confirmed,YAG06384.1,Organism: Nostoc sp. DSM 114167 | Strain: DSM 114167 | Isolation source: coralloid root | Host: Macrozamia serpentina | Culture collection: DSM:114167 | Db xref: taxon:3439050 | Geo loc name: Australia: Mt. Slopeway | Collection date: 2006
Nodularia sp. CChRGM 3473,galactokinase,2.7.1.6,galactose,MAG: galactokinase [Nodularia sp. CChRGM 3473],🟢 Confirmed,YAF98005.1,"Organism: Nodularia sp. CChRGM 3473 | Isolate: CChRGM 3473 | Isolation source: Unicyanobacterial enriched culture in BG11 medium | Db xref: taxon:3236753 | Environmental sample:  | Geo loc name: Chile: Atacama Desert, IV Region. | Lat lon: 29.239478 S 71.436339 W | Collection date: 2015-03-11 | Metagenome source: cyanobacteria enrichment culture | Note: metagenomic"
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333318994.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333108404.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333073533.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus vaginatus,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus vaginatus],🟢 Confirmed,WP_190742368.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus vaginatus],🟢 Confirmed,WP_190733433.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus vaginatus],🟢 Confirmed,WP_190656867.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus vaginatus],🟢 Confirmed,WP_445315918.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus vaginatus],🟢 Confirmed,WP_445311871.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus vaginatus],🟢 Confirmed,WP_445308215.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus sp. T3_B1,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. T3_B1],🟢 Confirmed,WP_333464954.1,Organism: Microcoleus sp. T3_B1 | Db xref: taxon:3055425
Microcoleus sp. Pol10D4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. Pol10D4],🟢 Confirmed,WP_333455550.1,Organism: Microcoleus sp. Pol10D4 | Db xref: taxon:3055387
Microcoleus sp. K5-D4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. K5-D4],🟢 Confirmed,WP_333449033.1,Organism: Microcoleus sp. K5-D4 | Db xref: taxon:2818801
Microcoleus sp. D3_18_C4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. D3_18_C4],🟢 Confirmed,WP_333447596.1,Organism: Microcoleus sp. D3_18_C4 | Db xref: taxon:3055335
Microcoleus sp. MON2_D5,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. MON2_D5],🟢 Confirmed,WP_333430453.1,Organism: Microcoleus sp. MON2_D5 | Db xref: taxon:2818833
Microcoleus sp. F4-D5,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. F4-D5],🟢 Confirmed,WP_333425576.1,Organism: Microcoleus sp. F4-D5 | Db xref: taxon:2818760
Microcoleus sp. MOSTC5,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. MOSTC5],🟢 Confirmed,WP_333412333.1,Organism: Microcoleus sp. MOSTC5 | Db xref: taxon:3055378
Microcoleus sp. T2B6,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. T2B6],🟢 Confirmed,WP_333408350.1,Organism: Microcoleus sp. T2B6 | Db xref: taxon:3055424
Microcoleus sp. MON1_C1,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. MON1_C1],🟢 Confirmed,WP_333402854.1,Organism: Microcoleus sp. MON1_C1 | Db xref: taxon:2818827
Microcoleus sp. N9_B4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. N9_B4],🟢 Confirmed,WP_333372481.1,Organism: Microcoleus sp. N9_B4 | Db xref: taxon:3055386
Microcoleus sp. AT3-D2,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. AT3-D2],🟢 Confirmed,WP_333369231.1,Organism: Microcoleus sp. AT3-D2 | Db xref: taxon:2818612
Microcoleus sp. B3-A4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. B3-A4],🟢 Confirmed,WP_333346051.1,Organism: Microcoleus sp. B3-A4 | Db xref: taxon:2818653
Microcoleus sp. w1-18aA5,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. w1-18aA5],🟢 Confirmed,WP_333345716.1,Organism: Microcoleus sp. w1-18aA5 | Db xref: taxon:2818982
Microcoleus sp. BROC3,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. BROC3],🟢 Confirmed,WP_333331344.1,Organism: Microcoleus sp. BROC3 | Db xref: taxon:3055323
Microcoleus sp. T3_A4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. T3_A4],🟢 Confirmed,WP_333326669.1,Organism: Microcoleus sp. T3_A4 | Db xref: taxon:2818968
Microcoleus sp. LAD1_D3,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. LAD1_D3],🟢 Confirmed,WP_333325528.1,Organism: Microcoleus sp. LAD1_D3 | Db xref: taxon:2819365
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333308893.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333303661.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333297602.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. D2_18a_B4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. D2_18a_B4],🟢 Confirmed,WP_333281851.1,Organism: Microcoleus sp. D2_18a_B4 | Db xref: taxon:3055329
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333247802.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333240467.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. BR0-C5,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. BR0-C5],🟢 Confirmed,WP_333225673.1,Organism: Microcoleus sp. BR0-C5 | Db xref: taxon:2818713
Microcoleus sp. Pol12A5,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. Pol12A5],🟢 Confirmed,WP_333220040.1,Organism: Microcoleus sp. Pol12A5 | Db xref: taxon:3055392
Microcoleus sp. S36b_A4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. S36b_A4],🟢 Confirmed,WP_333215020.1,Organism: Microcoleus sp. S36b_A4 | Db xref: taxon:3055420
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333204715.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. Pol7_A1,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. Pol7_A1],🟢 Confirmed,WP_333193331.1,Organism: Microcoleus sp. Pol7_A1 | Db xref: taxon:2818893
Microcoleus sp. AT3-A2,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. AT3-A2],🟢 Confirmed,WP_333161625.1,Organism: Microcoleus sp. AT3-A2 | Db xref: taxon:2818610
Microcoleus sp. B9-D4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. B9-D4],🟢 Confirmed,WP_333154889.1,Organism: Microcoleus sp. B9-D4 | Db xref: taxon:2818711
Microcoleus sp. Pol11C2,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. Pol11C2],🟢 Confirmed,WP_333134057.1,Organism: Microcoleus sp. Pol11C2 | Db xref: taxon:3055389
Microcoleus sp. Pol11C3,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. Pol11C3],🟢 Confirmed,WP_333131014.1,Organism: Microcoleus sp. Pol11C3 | Db xref: taxon:3055390
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333095793.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. S13C4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. S13C4],🟢 Confirmed,WP_333049350.1,Organism: Microcoleus sp. S13C4 | Db xref: taxon:3055410
Microcoleus sp. OTE_8_concoct_300,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. OTE_8_concoct_300],🟢 Confirmed,WP_445245401.1,Organism: Microcoleus sp. OTE_8_concoct_300 | Db xref: taxon:2964710
Microcoleus sp. D2_18a_D3,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. D2_18a_D3],🟢 Confirmed,WP_333435401.1,Organism: Microcoleus sp. D2_18a_D3 | Db xref: taxon:3055330
Microcoleus sp. POL10_C6,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. POL10_C6],🟢 Confirmed,WP_333386301.1,Organism: Microcoleus sp. POL10_C6 | Db xref: taxon:2818852
Microcoleus sp. N3A4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. N3A4],🟢 Confirmed,WP_333361703.1,Organism: Microcoleus sp. N3A4 | Db xref: taxon:3055379
Microcoleus sp. MON1_C5,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. MON1_C5],🟢 Confirmed,WP_333283167.1,Organism: Microcoleus sp. MON1_C5 | Db xref: taxon:2818828
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333267759.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. S13_C5,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. S13_C5],🟢 Confirmed,WP_333259995.1,Organism: Microcoleus sp. S13_C5 | Db xref: taxon:3055411
Microcoleus sp. Pol12B5,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. Pol12B5],🟢 Confirmed,WP_333227877.1,Organism: Microcoleus sp. Pol12B5 | Db xref: taxon:3055396
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333217360.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. S28C3,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. S28C3],🟢 Confirmed,WP_333197554.1,Organism: Microcoleus sp. S28C3 | Db xref: taxon:3055414
Microcoleus sp. S13_B4,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. S13_B4],🟢 Confirmed,WP_333172553.1,Organism: Microcoleus sp. S13_B4 | Db xref: taxon:3055408
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333170134.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333152034.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333141298.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333082290.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Microcoleus],🟢 Confirmed,WP_333039274.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. AR_TQ3_B6,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. AR_TQ3_B6],🟢 Confirmed,WP_332955708.1,Organism: Microcoleus sp. AR_TQ3_B6 | Db xref: taxon:3055284
Microcoleus vaginatus,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus vaginatus],🟢 Confirmed,WP_242724236.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus vaginatus],🟢 Confirmed,WP_006634541.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus sp.,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp.],🟢 Confirmed,WP_445173332.1,Organism: Microcoleus sp. | Db xref: taxon:44472
Microcoleus sp.,galactokinase,2.7.1.6,galactose,MAG: galactokinase [Microcoleus sp.],🟢 Confirmed,XZO00991.1,Organism: Microcoleus sp. | Isolate: GLPA | Isolation source: lake cyanobacterial mat | Db xref: taxon:44472 | Environmental sample:  | Geo loc name: Canada: Nova Scotia | Lat lon: 44.90 N 63.58 W | Collection date: 2022-05-03 | Metagenome source: Microcoleus mat metagenome | Note: metagenomic
Microcoleus sp.,galactokinase,2.7.1.6,galactose,MAG: galactokinase [Microcoleus sp.],🟢 Confirmed,XZN94311.1,Organism: Microcoleus sp. | Isolate: GLPC | Isolation source: lake cyanobacterial mat | Db xref: taxon:44472 | Environmental sample:  | Geo loc name: Canada: Nova Scotia | Lat lon: 44.90 N 63.58 W | Collection date: 2022-05-03 | Metagenome source: Microcoleus mat metagenome | Note: metagenomic
Microcoleus sp.,galactokinase,2.7.1.6,galactose,MAG: galactokinase [Microcoleus sp.],🟢 Confirmed,XZN90911.1,Organism: Microcoleus sp. | Isolate: GLPB | Isolation source: lake cyanobacterial mat | Db xref: taxon:44472 | Environmental sample:  | Geo loc name: Canada: Nova Scotia | Lat lon: 44.90 N 63.58 W | Collection date: 2022-05-03 | Metagenome source: Microcoleus mat metagenome | Note: metagenomic
Desertifilum,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [Desertifilum],🟢 Confirmed,WP_069965170.1,Organism: Desertifilum | Db xref: taxon:1185872
Nostoc sp. CALU 1950,galactokinase,2.7.1.6,galactose,galactokinase [Nostoc sp. CALU 1950],🟢 Confirmed,WP_435025755.1,Organism: Nostoc sp. CALU 1950 | Db xref: taxon:3104321
Phormidium sp.,galactokinase,2.7.1.6,galactose,MAG: galactokinase [Phormidium sp.],🟢 Confirmed,XWK88342.1,"Organism: Phormidium sp. | Isolate: R1S1 | Isolation source: Lac de la Gruyere (Fribourg, Switzerland) | Db xref: taxon:1199 | Environmental sample:  | Geo loc name: Switzerland: La Roche (Lac de la Gruyere) | Lat lon: 46.690451 N 7.121757 E | Collection date: 2022-07-25 | Metagenome source: microbial mat metagenome | Note: metagenomic"
Pantanalinema sp. GBBB05,galactokinase,2.7.1.6,galactose,galactokinase [Pantanalinema sp. GBBB05],🟢 Confirmed,WP_432812467.1,Organism: Pantanalinema sp. GBBB05 | Db xref: taxon:2604139
Pantanalinema rosaneae,galactokinase,2.7.1.6,galactose,galactokinase [Pantanalinema rosaneae],🟢 Confirmed,WP_431655516.1,Organism: Pantanalinema rosaneae | Db xref: taxon:1620701
unclassified Leptolyngbya,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Leptolyngbya],🟢 Confirmed,WP_430677981.1,Organism: unclassified Leptolyngbya | Db xref: taxon:2650499
Leptolyngbya sp. AN02str,galactokinase,2.7.1.6,galactose,galactokinase [Leptolyngbya sp. AN02str],🟢 Confirmed,WP_430683494.1,Organism: Leptolyngbya sp. AN02str | Db xref: taxon:3423363
unclassified Nostoc,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Nostoc],🟢 Confirmed,WP_322643187.1,Organism: unclassified Nostoc | Db xref: taxon:2593658
Nannochloropsis oceanica,galactokinase,2.7.1.6,galactose,galactokinase 1 [Nannochloropsis oceanica],🟢 Confirmed,GAB5033747.1,Organism: Nannochloropsis oceanica | Strain: NIES-2145 | Isolation source: sea water | Db xref: taxon:145522 | Geo loc name: Japan | Collection date: 2012-03
Coleofasciculaceae cyanobacterium,galactokinase,2.7.1.6,galactose,MAG: galactokinase [Coleofasciculaceae cyanobacterium],🟢 Confirmed,GAB4207222.1,"Organism: Coleofasciculaceae cyanobacterium | Isolate: Fur006 | Isolation source: iron rich hot spring | Db xref: taxon:3081323 | Environmental sample:  | Geo loc name: Japan:Aomori Prefecture, Hirakawa, Ikarigaseki, Nishiikarigasekiyama, Furutobe hot spring | Collection date: 2019-09-24 | Metagenome source: hot spring metagenome | Note: metagenomic"
Elainellaceae cyanobacterium,galactokinase,2.7.1.6,galactose,MAG: galactokinase [Elainellaceae cyanobacterium],🟢 Confirmed,GAB4237420.1,"Organism: Elainellaceae cyanobacterium | Isolate: Kow00121 | Isolation source: iron rich hot spring | Db xref: taxon:3121617 | Environmental sample:  | Geo loc name: Japan:Akita Prefecture, Daisen City, Kowakubi hot spring | Collection date: 2019-09-23 | Metagenome source: hot spring metagenome | Note: metagenomic"
Leptolyngbyaceae cyanobacterium,galactokinase,2.7.1.6,galactose,MAG: galactokinase [Leptolyngbyaceae cyanobacterium],🟢 Confirmed,GAB4337618.1,"Organism: Leptolyngbyaceae cyanobacterium | Isolate: OHK0047 | Isolation source: iron rich hot spring | Db xref: taxon:3088178 | Environmental sample:  | Geo loc name: Japan:Akita Prefecture, Kazuno District, Kosaka, OkuOkuHachikuro hot spring | Collection date: 2019-09-24 | Metagenome source: hot spring metagenome | Note: metagenomic"
Geminocystis sp.,galactokinase,2.7.1.6,galactose,MAG: galactokinase [Geminocystis sp.],🟢 Confirmed,GAB4321470.1,"Organism: Geminocystis sp. | Isolate: Kow0091 | Isolation source: iron rich hot spring | Db xref: taxon:2664100 | Environmental sample:  | Geo loc name: Japan:Akita Prefecture, Daisen City, Kowakubi hot spring | Collection date: 2019-09-23 | Metagenome source: hot spring metagenome | Note: metagenomic"
Anabaena sp. PCC 7938,galactokinase,2.7.1.6,galactose,galactokinase [Anabaena sp. PCC 7938],🟢 Confirmed,XQV24027.1,Organism: Anabaena sp. PCC 7938 | Strain: ATCC 29414 | Isolation source: culture collection | Db xref: taxon:1296340
Leptothermofonsia sp. ETS-13,galactokinase,2.7.1.6,galactose,galactokinase [Leptothermofonsia sp. ETS-13],🟢 Confirmed,WP_421658905.1,Organism: Leptothermofonsia sp. ETS-13 | Db xref: taxon:3035696
Kamptonema sp. PCC 6506,galactokinase,2.7.1.6,galactose,Galactokinase [Kamptonema sp. PCC 6506],🟢 Confirmed,CAI7984297.1,Organism: Kamptonema sp. PCC 6506 | Strain: PCC 7926 | Db xref: taxon:272129 | Note: contig: NODE_103
Kamptonema sp. UHCC 0994,galactokinase,2.7.1.6,galactose,galactokinase family protein [Kamptonema sp. UHCC 0994],🟢 Confirmed,WP_275570567.1,Organism: Kamptonema sp. UHCC 0994 | Db xref: taxon:3031329
Chlorella vulgaris,galactokinase,2.7.1.6,galactose,Galactokinase [Chlorella vulgaris],🟢 Confirmed,KAL4860073.1,Organism: Chlorella vulgaris | Isolate: PKVL7422 | Isolation source: Environment | Db xref: taxon:3077 | Geo loc name: South Korea: Busan | Collection date: 2018-01-01
Leptolyngbya sp. FACHB-1624,galactokinase,2.7.1.6,galactose,galactokinase [Leptolyngbya sp. FACHB-1624],🟢 Confirmed,XOF24160.1,Organism: Leptolyngbya sp. FACHB-1624 | Strain: FACHB-1624 | Isolation source: soil | Db xref: taxon:2692802 | Geo loc name: China: Inner Mongolia | Collection date: 2009-10
Scytonema sp. PCC 10023,galactokinase,2.7.1.6,galactose,galactokinase [Scytonema sp. PCC 10023],🟢 Confirmed,WP_414587661.1,Organism: Scytonema sp. PCC 10023 | Db xref: taxon:1680591
Nostoc sp. CCY 9925,galactokinase,2.7.1.6,galactose,galactokinase [Nostoc sp. CCY 9925],🟢 Confirmed,WP_414571367.1,Organism: Nostoc sp. CCY 9925 | Db xref: taxon:3103865
Floridanema evergladense,galactokinase,2.7.1.6,galactose,galactokinase [Floridanema evergladense],🟢 Confirmed,WP_413278783.1,Organism: Floridanema evergladense | Db xref: taxon:3396172
Floridanema aerugineum,galactokinase,2.7.1.6,galactose,galactokinase [Floridanema aerugineum],🟢 Confirmed,WP_413271403.1,Organism: Floridanema aerugineum | Db xref: taxon:3396169
Floridanema flaviceps,galactokinase,2.7.1.6,galactose,galactokinase [Floridanema flaviceps],🟢 Confirmed,WP_413263121.1,Organism: Floridanema flaviceps | Db xref: taxon:3396170
Anabaena azotica,galactokinase,2.7.1.6,galactose,galactokinase [Anabaena azotica],🟢 Confirmed,WP_413172115.1,Organism: Anabaena azotica | Db xref: taxon:197653
Aerosakkonema funiforme,galactokinase,2.7.1.6,galactose,galactokinase [Aerosakkonema funiforme],🟢 Confirmed,WP_374799099.1,Organism: Aerosakkonema funiforme | Db xref: taxon:1246630
[Phormidium] sp. LEGE 05292,galactokinase,2.7.1.6,galactose,galactokinase [[Phormidium] sp. LEGE 05292],🟢 Confirmed,WP_193986164.1,Organism: [Phormidium] sp. LEGE 05292 | Db xref: taxon:767427
Oscillatoriophycideae,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [Oscillatoriophycideae],🟢 Confirmed,WP_190466897.1,Organism: Oscillatoriophycideae | Db xref: taxon:1301283
Anabaena azotica SJ-1,galactokinase,2.7.1.6,galactose,galactokinase [Anabaena azotica SJ-1],🟢 Confirmed,XNO54815.1,"Organism: Anabaena azotica SJ-1 | Strain: SJ-1 | Host: rice | Db xref: taxon:3392114 | Geo loc name: China: Jiamusi City, Erdaohe Farm | Collection date: 2021-10"
unclassified Nostoc,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [unclassified Nostoc],🟢 Confirmed,WP_322679643.1,Organism: unclassified Nostoc | Db xref: taxon:2593658
Nostocales,galactokinase,2.7.1.6,galactose,MULTISPECIES: galactokinase [Nostocales],🟢 Confirmed,WP_038089532.1,Organism: Nostocales | Db xref: taxon:1161
Scytonema sp. NUACC26,galactokinase,2.7.1.6,galactose,galactokinase [Scytonema sp. NUACC26],🟢 Confirmed,WP_407891460.1,Organism: Scytonema sp. NUACC26 | Db xref: taxon:3140176
Chloropicon roscoffensis,galactokinase,2.7.1.6,galactose,galactokinase [Chloropicon roscoffensis],🟢 Confirmed,XKU19068.1,Organism: Chloropicon roscoffensis | Strain: RCC2335 | Db xref: taxon:1461544 | Chromosome: 6 | Geo loc name: Japan: Sagami Bay | Lat lon: 35.22 N 139.62 E | Collection date: 2009-05-04
Chloropicon roscoffensis,galactokinase,2.7.1.6,galactose,galactokinase [Chloropicon roscoffensis],🟢 Confirmed,XKU10345.1,Organism: Chloropicon roscoffensis | Strain: CCMP1998 | Db xref: taxon:1461544 | Chromosome: 6 | Geo loc name: Atlantic Ocean: Sargasso Sea | Lat lon: 20.7722 N 63.0368 W | Collection date: 1994-02-24
Altericista sp. CCNU0014,galactokinase,2.7.1.6,galactose,galactokinase [Altericista sp. CCNU0014],🟢 Confirmed,WP_404786403.1,Organism: Altericista sp. CCNU0014 | Db xref: taxon:3082949
Altericista sp. CCNU0014,galactokinase,2.7.1.6,galactose,galactokinase [Altericista sp. CCNU0014],🟢 Confirmed,XKI45164.1,Organism: Altericista sp. CCNU0014 | Strain: CCNU0014 | Isolation source: freshwater stream in an inland mountain | Db xref: taxon:3082949 | Geo loc name: China: Leshan city | Collection date: 2018-02
Microcoleus sp. FACHB-SPT15,galactokinase,2.7.1.6,galactose,galactokinase [Microcoleus sp. FACHB-SPT15],🟢 Confirmed,WP_396812500.1,Organism: Microcoleus sp. FACHB-SPT15 | Db xref: taxon:2692830
Nostoc sp. C117,galactokinase,2.7.1.6,galactose,galactokinase [Nostoc sp. C117],🟢 Confirmed,WP_392535458.1,Organism: Nostoc sp. C117 | Db xref: taxon:3349875
